Code vehicule,Code chauffeur,Date (GMT),Latitude,Longitude,Vitesse,I/O,Valide
6252,00539,2022-05-25 12:02:32,0,0,0,04,0,
6252,00539,2022-05-25 12:02:37,25.51697,-103.34805,0,04,1,
6252,00539,2022-05-25 12:03:03,25.51694,-103.34803,0,04,1,
6252,00539,2022-05-25 12:03:33,25.51691,-103.34801,0,04,1,
6252,00539,2022-05-25 12:04:04,25.51689,-103.34801,0,04,1,
6252,00539,2022-05-25 12:04:19,25.51689,-103.34801,0,00,1,
6252,00539,2022-05-25 12:04:48,25.51696,-103.34809,12,00,1,
6252,00539,2022-05-25 12:05:15,25.51691,-103.35042,22,00,1,
6252,00539,2022-05-25 12:05:45,25.51692,-103.35172,4,00,1,
6252,00539,2022-05-25 12:06:11,25.51543,-103.35177,35,00,1,
6252,00539,2022-05-25 12:06:41,25.5136,-103.35222,28,00,1,
6252,00539,2022-05-25 12:07:12,25.51334,-103.35551,27,00,1,
6252,00539,2022-05-25 12:07:42,25.51164,-103.35614,36,00,1,
6252,00539,2022-05-25 12:08:12,25.50885,-103.35621,33,00,1,
6252,00539,2022-05-25 12:08:43,25.50649,-103.35625,20,00,1,
6252,00539,2022-05-25 12:09:13,25.50466,-103.3573,40,00,1,
6252,00539,2022-05-25 12:09:43,25.50465,-103.36049,38,00,1,
6252,00539,2022-05-25 12:10:09,25.5046,-103.36289,44,00,1,
6252,00539,2022-05-25 12:10:39,25.50442,-103.36594,0,00,1,
6252,00539,2022-05-25 12:11:10,25.50441,-103.3659,0,00,1,
6252,00539,2022-05-25 12:11:40,25.50277,-103.3663,47,00,1,
6252,00539,2022-05-25 12:12:10,25.49833,-103.36653,54,00,1,
6252,00539,2022-05-25 12:12:41,25.49772,-103.37127,67,00,1,
6252,00539,2022-05-25 12:13:11,25.49727,-103.37507,23,00,1,
6252,00539,2022-05-25 12:13:41,25.49681,-103.378,7,00,1,
6252,00539,2022-05-25 12:14:12,25.49658,-103.37949,0,00,1,
6252,00539,2022-05-25 12:14:42,25.49645,-103.38012,16,00,1,
6252,00539,2022-05-25 12:15:12,25.49604,-103.38298,45,00,1,
6252,00539,2022-05-25 12:15:38,25.4954,-103.38714,66,00,1,
