Code vehicule,Code chauffeur,Date (GMT),Latitude,Longitude,Vitesse,I/O,Valide
5147,01963,2022-05-25 10:09:22,0,0,0,00,0,
5147,01963,2022-05-25 10:09:33,25.54568,-103.31262,0,00,1,
5147,01963,2022-05-25 10:09:58,25.54568,-103.31263,0,00,1,
5147,01963,2022-05-25 10:10:29,25.54568,-103.31268,1,00,1,
5147,01963,2022-05-25 10:10:59,25.54566,-103.31265,0,00,1,
5147,01963,2022-05-25 10:11:29,25.54565,-103.31266,0,00,1,
5147,01963,2022-05-25 10:12:00,25.54571,-103.31269,0,00,1,
5147,01963,2022-05-25 10:12:30,25.54576,-103.3127,0,00,1,
5147,01963,2022-05-25 10:13:00,25.54575,-103.31272,0,00,1,
5147,01963,2022-05-25 10:13:30,25.54571,-103.31271,0,00,1,
5147,01963,2022-05-25 10:13:58,25.54567,-103.3127,0,00,1,
5147,01963,2022-05-25 10:14:28,25.54569,-103.31269,0,00,1,
5147,01963,2022-05-25 10:14:59,25.54569,-103.31269,0,00,1,
5147,01963,2022-05-25 10:15:24,25.54569,-103.31269,0,00,1,
5147,01963,2022-05-25 10:15:54,25.54568,-103.31269,0,00,1,
5147,01963,2022-05-25 10:16:25,25.54568,-103.31268,0,00,1,
5147,01963,2022-05-25 10:16:55,25.5457,-103.31267,0,00,1,
5147,01963,2022-05-25 10:17:25,25.54571,-103.31268,0,00,1,
5147,01963,2022-05-25 10:17:56,25.5457,-103.31269,0,00,1,
5147,01963,2022-05-25 10:18:26,25.5457,-103.31269,0,00,1,
5147,01963,2022-05-25 10:18:56,25.54571,-103.3127,0,00,1,
5147,01963,2022-05-25 10:19:26,25.54571,-103.31271,0,00,1,
5147,01963,2022-05-25 10:19:57,25.54571,-103.3127,0,00,1,
5147,01963,2022-05-25 10:20:27,25.54571,-103.31269,0,00,1,
5147,01963,2022-05-25 10:20:52,25.54571,-103.31268,0,00,1,
5147,01963,2022-05-25 10:21:23,25.54571,-103.31269,0,00,1,
5147,01963,2022-05-25 10:21:53,25.5457,-103.3127,0,00,1,
5147,01963,2022-05-25 10:22:24,25.5457,-103.31271,0,00,1,
5147,01963,2022-05-25 10:22:54,25.5457,-103.31272,0,00,1,
5147,01963,2022-05-25 10:23:24,25.5457,-103.31272,0,00,1,
5147,01963,2022-05-25 10:23:55,25.5457,-103.31272,0,00,1,
5147,01963,2022-05-25 10:24:25,25.5457,-103.31271,0,00,1,
5147,01963,2022-05-25 10:24:55,25.54573,-103.31271,0,00,1,
